"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-0-4.ec2.internal",,,,"User:","simulator"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.12-SNAPSHOT/workers/2020-06-03__11_13_44/A2_dstat.csv 5",,,,"Date:","03 Jun 2020 08:14:11 UTC"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1591172051.575,462360576.0,2138112.0,1049100288.0,72244080640.0,0.545,0.490,98.926,0.003,0.0,0.035,74383.329,475884.481,0.0,0.0,0.0,0.0,21335.898,61979.483,0.050,0.080,0.560
1591172056.580,463577088.0,2138112.0,1049325568.0,72242638848.0,0.067,0.044,99.889,0.0,0.0,0.0,0.0,9830.400,13900.800,8335.200,0.0,0.0,549.600,462.600,0.040,0.080,0.560
1591172061.580,463613952.0,2138112.0,1049849856.0,72242077696.0,0.011,0.006,99.983,0.0,0.0,0.0,0.0,0.0,61579.200,1749.600,0.0,0.0,119.600,148.0,0.040,0.080,0.560
1591172066.580,463732736.0,2138112.0,1050112000.0,72241696768.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,0.0,57448.600,1503.400,0.0,0.0,104.0,119.200,0.040,0.080,0.550
1591172071.580,463450112.0,2138112.0,1050640384.0,72241451008.0,0.011,0.006,99.983,0.0,0.0,0.0,0.0,18022.400,96882.0,2992.800,0.0,0.0,318.200,157.0,0.030,0.080,0.550
1591172076.580,463540224.0,2138112.0,1050906624.0,72241094656.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,58803.0,1753.600,0.0,0.0,120.600,171.800,0.030,0.080,0.550
1591172081.580,463523840.0,2138112.0,1051168768.0,72240848896.0,0.006,0.0,99.989,0.006,0.0,0.0,0.0,296140.800,34674.0,1098.400,0.0,0.0,123.800,228.400,0.030,0.070,0.540
1591172086.580,463515648.0,2138112.0,1051430912.0,72240594944.0,0.006,0.006,99.983,0.006,0.0,0.0,0.0,62259.200,64003.0,1760.200,0.0,0.0,307.400,183.0,0.020,0.070,0.540
1591172091.580,463626240.0,2138112.0,1051693056.0,72240222208.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,5734.400,65138.400,1710.0,0.0,0.0,133.400,176.0,0.020,0.070,0.540
1591172096.580,463478784.0,2138112.0,1052221440.0,72239841280.0,0.011,0.006,99.983,0.0,0.0,0.0,0.0,1051852.800,70581.400,1859.0,0.0,0.0,140.600,181.200,0.020,0.070,0.540
1591172101.580,463708160.0,2138112.0,1053007872.0,72238825472.0,0.011,0.0,99.989,0.0,0.0,0.0,0.0,0.0,128827.200,3412.800,0.0,0.0,364.800,214.200,0.020,0.070,0.530
1591172106.580,463691776.0,2138112.0,1053270016.0,72238579712.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,9830.400,64908.800,1906.800,0.0,0.0,129.600,170.600,0.020,0.070,0.530
1591172111.580,464064512.0,2138112.0,1053532160.0,72237944832.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,108953.600,49624.800,1364.800,0.0,0.0,120.600,164.400,0.020,0.070,0.530
1591172116.580,463929344.0,2138112.0,1053794304.0,72237817856.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,49983.400,1263.400,0.0,0.0,288.600,155.200,0.010,0.060,0.520
1591172121.580,463908864.0,2138112.0,1054322688.0,72237309952.0,0.017,0.0,99.983,0.0,0.0,0.0,0.0,1638.400,92368.800,2174.400,0.0,0.0,166.200,199.800,0.010,0.060,0.520
1591172126.580,464027648.0,2138112.0,1054584832.0,72236929024.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,4915.200,78052.600,2231.400,0.0,0.0,143.600,163.600,0.010,0.060,0.520
1591172131.580,464138240.0,2138112.0,1055109120.0,72236294144.0,0.006,0.0,99.989,0.006,0.0,0.0,0.0,1153433.600,112705.200,2532.0,0.0,0.0,173.600,223.600,0.010,0.060,0.520
1591172136.580,464240640.0,2138112.0,1055895552.0,72235405312.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,6553.600,114279.800,3212.200,0.0,0.0,350.600,190.800,0.010,0.060,0.510
1591172141.580,463851520.0,2138112.0,1056157696.0,72235532288.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,17612.800,63969.600,1486.800,0.0,0.0,132.800,179.800,0.010,0.060,0.510
1591172146.580,464347136.0,2138112.0,1056423936.0,72234770432.0,0.011,0.0,99.989,0.0,0.0,0.0,0.0,0.0,68193.400,1809.800,0.0,0.0,127.800,155.600,0.010,0.060,0.510
1591172151.580,464187392.0,2138112.0,1056948224.0,72234405888.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,51771.600,1620.400,0.0,0.0,288.600,160.400,0.010,0.060,0.500
1591172156.580,464166912.0,2138112.0,1057476608.0,72233897984.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,3276.800,104947.0,2218.600,0.0,0.0,162.600,182.800,0.010,0.050,0.500
1591172161.580,464039936.0,2138112.0,1058000896.0,72233500672.0,0.017,0.0,99.983,0.0,0.0,0.0,0.0,2662.400,105265.200,2988.400,0.0,0.0,181.400,198.200,0.0,0.050,0.500
1591172166.580,464150528.0,2138112.0,1058525184.0,72232865792.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,1376256.0,87938.200,2205.400,0.0,0.0,492.800,206.800,0.0,0.050,0.490
1591172171.580,464384000.0,2138112.0,1059053568.0,72232103936.0,0.006,0.006,99.989,0.0,0.0,0.0,0.0,0.0,70556.400,1727.200,0.0,0.0,131.800,183.200,0.0,0.050,0.490
1591172176.580,464232448.0,2138112.0,1059840000.0,72231469056.0,0.011,0.0,99.989,0.0,0.0,0.0,0.0,5529.600,76858.600,1981.800,0.0,0.0,145.400,179.800,0.0,0.050,0.490
1591172181.580,464478208.0,2138112.0,1060102144.0,72230961152.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,80458.800,1915.200,0.0,0.0,321.400,184.400,0.0,0.050,0.490
1591172186.580,461094912.0,2138112.0,1060626432.0,72233820160.0,0.011,0.006,99.978,0.0,0.0,0.006,0.0,6144.0,92224.200,2701.800,0.0,0.0,183.200,234.400,0.0,0.050,0.480
1591172191.580,461869056.0,2138112.0,1060864000.0,72232808448.0,0.033,0.039,99.917,0.006,0.0,0.006,0.0,173670.400,2469.200,2052.200,0.0,0.0,318.200,367.600,0.0,0.050,0.480
1591172196.580,812306432.0,2138112.0,1061076992.0,71882158080.0,2.261,1.300,96.433,0.0,0.0,0.006,0.0,11468.800,3010.200,700.200,0.0,0.0,132686.400,8829.400,0.080,0.060,0.480
1591172201.580,869310464.0,2138112.0,1061199872.0,71825031168.0,1.395,1.801,96.793,0.006,0.0,0.006,0.0,1060044.800,3910.600,906.400,0.0,0.0,210806.800,1440.600,0.160,0.080,0.490
1591172206.576,1765515264.0,2138112.0,1061371904.0,70928654336.0,7.214,4.261,88.250,0.0,0.0,0.275,0.0,28467.200,25369461.0,34657494.800,0.0,0.0,269419.200,348378.600,0.780,0.210,0.530
1591172211.576,2169843712.0,2138112.0,1061498880.0,70524198912.0,11.121,9.135,79.021,0.0,0.0,0.723,0.0,0.0,93656660.0,45809010.200,0.0,0.0,370219.800,1162813.400,1.600,0.390,0.580
1591172216.580,2205057024.0,2138112.0,1061625856.0,70488858624.0,10.760,9.372,79.088,0.0,0.0,0.780,0.0,0.0,93160986.800,45944108.200,0.0,0.0,372639.400,1172568.200,2.520,0.600,0.650
1591172221.580,2171580416.0,2138112.0,1061752832.0,70522208256.0,10.433,9.101,79.576,0.0,0.0,0.889,0.0,147456.0,91801870.200,45406301.0,0.0,0.0,372315.200,1165205.0,3.360,0.810,0.720
1591172226.576,2173231104.0,2138112.0,1061888000.0,70520422400.0,10.620,9.223,79.424,0.0,0.0,0.733,0.0,385024.0,93229750.200,45735072.800,0.0,0.0,371980.600,1166802.600,3.890,0.960,0.770
1591172231.576,2181488640.0,2138112.0,1062019072.0,70512033792.0,11.213,9.172,78.950,0.0,0.0,0.665,0.0,0.0,94349149.200,46221504.0,0.0,0.0,374023.400,1170886.400,4.380,1.110,0.820
1591172236.580,2189783040.0,2138112.0,1062141952.0,70503616512.0,10.139,9.211,79.865,0.006,0.0,0.778,0.0,91750.400,93324349.400,45862420.400,0.0,0.0,374901.0,1170145.800,5.070,1.310,0.880
1591172241.580,2187542528.0,2138112.0,1062277120.0,70505721856.0,10.609,8.959,79.762,0.0,0.0,0.669,0.0,18022.400,94213657.0,46207335.800,0.0,0.0,371525.800,1164154.200,5.220,1.400,0.920
1591172246.580,2188472320.0,2138112.0,1062404096.0,70504665088.0,10.623,9.109,79.465,0.0,0.0,0.803,0.0,0.0,93076782.200,45819225.400,0.0,0.0,370296.400,1162624.0,5.370,1.500,0.950
1591172251.580,2189492224.0,2138112.0,1062531072.0,70503518208.0,10.714,8.971,79.642,0.0,0.0,0.673,0.0,0.0,94646847.0,46384268.200,0.0,0.0,372673.0,1173336.0,5.820,1.650,1.0
1591172256.580,2189209600.0,2138112.0,1062666240.0,70503665664.0,10.350,9.048,79.744,0.0,0.0,0.858,0.0,19660.800,93762671.200,46028954.600,0.0,0.0,374544.600,1171128.200,6.070,1.780,1.050
1591172261.580,2191998976.0,2138112.0,1062793216.0,70500749312.0,10.459,9.134,79.652,0.0,0.0,0.754,0.0,344064.0,94287972.400,46302689.800,0.0,0.0,371626.200,1171213.200,6.230,1.880,1.080
1591172266.580,2189197312.0,2138112.0,1062932480.0,70503411712.0,9.918,8.281,81.155,0.0,0.0,0.647,0.0,67379.200,85565124.800,41899087.200,0.0,0.0,353924.600,1054457.800,6.130,1.930,1.100
1591172271.580,2188341248.0,2138112.0,1063067648.0,70504132608.0,1.117,1.717,97.167,0.0,0.0,0.0,0.0,14745.600,396.600,327.0,0.0,0.0,208640.800,552.400,5.720,1.920,1.100
1591172276.580,483377152.0,2138112.0,1063198720.0,72208965632.0,0.772,0.961,98.261,0.0,0.0,0.006,0.0,0.0,380.200,397.200,0.0,0.0,117627.600,1400.200,5.260,1.880,1.100
1591172281.580,484552704.0,2138112.0,1063211008.0,72207777792.0,0.011,0.006,99.983,0.0,0.0,0.0,0.0,0.0,496.200,401.600,0.0,0.0,295.200,200.600,4.840,1.850,1.090
1591172286.580,487755776.0,2138112.0,1063284736.0,72204500992.0,0.094,0.089,99.817,0.0,0.0,0.0,0.0,29491.200,5698.200,4872.400,0.0,0.0,785.200,950.200,4.450,1.820,1.080
